main_class	subclass	Catalog	Company	KEGG	PubChem CID	InChi	Neutral Name	cas	formula	mass	mPlusH	mPlusHCCS	mPlusHRsd	mPlusNa	mPlusNaCCS	mPlusNaRsd	mMinusH	mMinusHCCS	mMinusHRsd	mPlusDot	mPlusDotCCS	mPlusDotRsd	mPlusTwoH	mPlusTwoHCCS	mPlusTwoHRsd
Primary Metabolites	Sugars	R3875	Sigma-Aldrich	C00507	25310	SHZGCJCMOBCMKK-JFNONXLTSA-N	L-Rhamnose	3615-41-6	C6H12O5	164.0684702	165.0762948	N/A	N/A	187.0582402	146.3	0.0683527	163.0606456	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	M4670	Sigma-Aldrich	C03570	440049	MSWZFWKMSRAUBD-CBPJZXOFSA-N	D-Mannosamine	14307-02-9	C6H13NO5	179.0793688	180.0871934	N/A	N/A	202.0691388	146.7333333	0.516029836	178.0715442	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	G0750	Sigma-Aldrich	C00124	6036	WQZGKKKJIJFFOK-SVZMEOIVSA-N	D-Galactose	59-23-4	C6H12O6	180.0633852	181.0712098	N/A	N/A	203.0531552	142.3946553	0.057735027	179.0555606	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	G8270	Sigma-Aldrich	C00031	107526	WQZGKKKJIJFFOK-GASJEMHNSA-N	D-Glucose	50-99-7	C6H12O6	180.0633852	181.0712098	N/A	N/A	203.0531552	147.3209943	0.2081666	179.0555606	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	F0127	Sigma-Aldrich	C10906	5984	BJHIKXHVCXFQLS-UYFOZJQFSA-N	D-Fructose	57-48-7	C6H12O6	180.0633852	181.0712098	N/A	N/A	203.0531552	141.9254802	0.115470054	179.0555606	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	M6020	Sigma-Aldrich	C00159	18950	WQZGKKKJIJFFOK-QTVWNMPRSA-N	D-Mannose	3458-28-4	C6H12O6	180.0633852	181.0712098	N/A	N/A	203.0531552	141.8249426	0.115470054	179.0555606	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	G8645	Sigma-Aldrich	C00191	65041	IAJILQKETJEXLJ-QTBDOELSSA-N	D-Glucuronate	6556-12-3	C6H10O7	194.04198	195.04992	N/A	N/A	217.03175	153.1333333	0.135938137	193.03404	134.2333333	0.043010946	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	E0377	Sigma-Aldrich	C00279	122357	NGHMDNPXVRFFGS-IUYQGCFVSA-N	D-Erythrose 4-Phosphate	585-18-2	C4H9O7P	200.0085894	201.0158654	N/A	N/A	222.9978074	153.8894463	0.765609575	199.0013134	149.1641823	0.496817443	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	7532	Sigma-Aldrich	C08355	5459879	HSNZZMHEPUFJNZ-SHUUEZRQSA-N	D-Sedoheptulose	3019-74-7	C7H14O7	210.0739494	211.0812254	N/A	N/A	233.0631674	150.73	0.101339578	209.0666734	145.5	0.194393617	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	A8176	Sigma-Aldrich	C00645	439281	OVRNDRQMDRJTHS-ZTVVOAFPSA-N	N-Acetyl-D-mannosamine	3615-17-6	C8H15NO6	221.089276	222.097216	N/A	N/A	244.079046	154.7607715	0.037506514	220.081336	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	R7750	Sigma-Aldrich	C00117	77982	PPQRONHOSHZGFQ-LMVFSUKVSA-N	D-Ribose 5-Phosphate	4300-28-1	C5H11O8P	230.0191536	231.0269782	N/A	N/A	253.0089236	155.7996593	0.13432992	229.011329	141.6573801	0.070972321	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	R9875	Sigma-Aldrich	C00199	439184	FNZLKVNUWIIPSJ-UHNVWZDZSA-N	D-Ribulose 5-Phosphate	4151-19-3	C5H11O8P	230.0191536	231.0269782	N/A	N/A	253.0089236	153.2527086	0.075751183	229.011329	140.8530798	0.188847346	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	78963	Sigma-Aldrich	C6814	441187	PPQRONHOSHZGFQ-VPENINKCSA-N	D-Xylulose 5-Phosphate	4212-65-1	C5H11O8P	230.0191536	231.0269782	N/A	N/A	253.0089236	151.4	0.893510519	229.011329	139.3	0.379863792	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars						D-Xylose 5-phosphate	66768-39-6	C5H11O8P	230.0191536	231.0269782	N/A	N/A	253.0089236	151.4	0.893510519	229.011329	139.3	0.379863792	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	F1127	Sigma-Aldrich	C01094	65246	ZKLLSNQJRLJIGT-UYFOZJQFSA-N	Fructose-1-phosphate	15978-08-2	C6H13O9P	260.0297178	261.0375424	N/A	N/A	283.0194878	159.6837593	0.07	259.0218932	146.8	0.117987112	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	F3627	Sigma-Aldrich	C00085	91746169	BGWGXPAPYGQALX-NQAPHZHOSA-N	Fructose-6-phosphate	643-13-0	C6H13O9P	260.0297178	261.0375424	N/A	N/A	283.0194878	156.436397	0.11	259.0218932	148.024757	0.397971379	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	G7000	Sigma-Aldrich	C00103	65533	HXXFSFRBOHSIMQ-GASJEMHNSA-N	α-D-Glucose 1-Phosphate	59-56-3	C6H13O9P	260.0297178	261.0375424	N/A	N/A	283.0194878	161.8319112	0.094896991	259.0218932	150.9068329	0.066622252	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	G7772	Sigma-Aldrich	C00092	5958	NBSCHQHZLSJFNQ-GASJEMHNSA-N	Glucose-6-phosphate	299-31-0	C6H13O9P	260.0297178	261.0375424	N/A	N/A	283.0194878	162.6026989	0.397512397	259.0218932	149.1976949	0.067385445	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	SMB00282	Sigma-Aldrich	C01630	439538	LGQKSQQRKHFMLI-WSNPFVOISA-N	Xylobiose	6860-47-5	C10H18O9	282.0950822	283.1023582	N/A	N/A	305.0843002	167.4	0.059737157	281.0878062	166.93	0.389760809	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	F6803	Sigma-Aldrich	C00354	10267	RNBGYGVWRKECFJ-ARQDHWQXSA-N	Fructose 1,6 Bisphosphate	38099-82-0	C6H14O12P2	339.9960504	341.003875	N/A	N/A	362.9858204	N/A	N/A	338.9882258	157.5087974	0.572099134	N/A	N/A	N/A	N/A	N/A	N/A
